State,Region
 AL,South Region
 AK,West Region
 AZ,West Region
 AR,South Region
 CA,West Region
 CO,West Region
 CT,Northeast Region
 DE,South Region
 DC,South Region
 FL,South Region
 GA,South Region
 HI,West Region
 ID,West Region
 IL,Midwest Region
 IN,Midwest Region
 IA,Midwest Region
 KS,Midwest Region
 KY,South Region
 LA,South Region
 ME,Northeast Region
 MD,South Region
 MA,Northeast Region
 MI,Midwest Region
 MN,Midwest Region
 MS,South Region
 MO,Midwest Region
 MT,West Region
 NE,Midwest Region
 NV,West Region
 NH,Northeast Region
 NJ,Northeast Region
 NM,West Region
 NY,Northeast Region
 NC,South Region
 ND,Midwest Region
 OH,Midwest Region
 OK,South Region
 OR,West Region
 PA,Northeast Region
 RI,Northeast Region
 SC,South Region
 SD,Midwest Region
 TN,South Region
 TX,South Region
 UT,West Region
 VT,Northeast Region
 VA,South Region
 WA,West Region
 WV,South Region
 WI,Midwest Region
 WY,West Region
